Week Index,Daily Users
0,18196
1,24692
2,24539
3,18554
4,27030
5,26841
6,27323
7,30417
8,31886
9,29808
10,30504
11,31513
12,30119
13,31004
14,31723
15,30125
16,31872
17,34521
18,30311
19,29937
20,28793
21,26557
22,28788
23,29619
24,30269
25,30305
26,29127
27,28601
28,26616
29,26053
30,26722
31,28388
32,28274
33,33650
34,30106
35,33797
36,31509
37,33918
38,32883
39,29282
40,29450
41,32784
42,34232
43,37340
44,33900
45,37290
46,44451
47,41708
48,36805
49,41255
50,39644
51,39228
52,41048
53,42283
54,35855
55,29737
56,34886
57,40588
58,44581
59,43599
60,48073
61,45666
62,48368
63,51538
64,47313
65,48826
66,47079
67,51266
68,55488
69,57753
70,55219
71,55005
72,67641
73,63505
74,60033
75,64947
76,63532
77,66329
78,69532
79,68116
80,66367
81,66442
82,63432
83,57493
84,62981
85,63584
86,67954
87,63651
88,67574
89,64408
90,65833
91,67987
92,63437
93,71558
94,80120
95,74058
96,73321
97,72716
98,76082
99,80865
100,71229
101,72711
102,70508
103,67543
104,73579
105,74856
106,67777
107,64146
108,58972
109,70234
110,71755
111,79317
112,80930
113,77648
114,82419
115,85771
116,81504
117,78650
118,74725
119,78429
120,72953
121,71804
122,75193
123,76393
124,75716
125,76116
126,74538
127,63223
128,73995
129,70828
130,69460
131,73552
132,73384
133,73930
134,81779
135,77521
136,68425
137,66396
138,67479
139,66543
140,66261
141,67610
142,78088
143,68998
144,71214
145,62101
146,68235
147,74286
148,66191
149,74567
150,78424
151,80492
152,75092
153,84748
154,83198
155,89557
156,99095
157,87908
158,85265
159,80572
160,72216
161,91799
162,"1,04,335"
163,97935
164,"1,21,062"
165,"1,15,850"
166,"1,06,420"
167,"1,10,339"
168,"1,03,952"
169,"1,02,614"
170,"1,00,844"
171,"1,05,005"
172,"1,14,955"
173,"1,22,982"
174,"1,16,868"
175,"1,06,017"
176,"1,04,012"
177,"1,07,338"
178,"1,09,404"
179,98589
180,"1,10,763"
181,"1,02,592"
182,95410
183,"1,01,142"
184,96730
185,94172
186,"1,00,433"
187,"1,03,354"
188,"1,02,723"
189,"1,12,588"
190,"1,03,386"
191,"1,08,334"
192,"1,16,614"
193,"1,00,676"
194,"1,03,556"
195,"1,05,263"
196,99225
197,"1,05,488"
198,"1,04,709"
199,"1,21,520"
200,"1,28,952"
201,"1,19,179"
202,"1,32,953"
203,"1,29,460"
204,"1,19,434"
205,"1,27,080"
206,"1,20,302"
207,"1,25,150"
208,"1,36,453"
